id,id_index,kode_provinsi,nama_provinsi,periode_update,cara_keluar,kategori,jumlah,satuan,tahun
20,58,35,JAWA TIMUR,2018-04,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
20,59,35,JAWA TIMUR,2018-04,DIRUJUK,RUJUKAN,0,PASIEN,2018
20,60,35,JAWA TIMUR,2018-04,DIRUJUK,TOTAL,0,PASIEN,2018
21,61,35,JAWA TIMUR,2018-04,PULANG PAKSA,NON RUJUKAN,72,PASIEN,2018
21,62,35,JAWA TIMUR,2018-04,PULANG PAKSA,RUJUKAN,25,PASIEN,2018
21,63,35,JAWA TIMUR,2018-04,PULANG PAKSA,TOTAL,97,PASIEN,2018
22,64,35,JAWA TIMUR,2018-04,PULANG,NON RUJUKAN,803,PASIEN,2018
22,65,35,JAWA TIMUR,2018-04,PULANG,RUJUKAN,104,PASIEN,2018
22,66,35,JAWA TIMUR,2018-04,PULANG,TOTAL,907,PASIEN,2018
23,67,35,JAWA TIMUR,2018-04,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
23,68,35,JAWA TIMUR,2018-04,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
23,69,35,JAWA TIMUR,2018-04,PULANG PAKSA,TOTAL,0,PASIEN,2018
24,70,35,JAWA TIMUR,2018-04,DIRAWAT,NON RUJUKAN,728,PASIEN,2018
24,71,35,JAWA TIMUR,2018-04,DIRAWAT,RUJUKAN,802,PASIEN,2018
24,72,35,JAWA TIMUR,2018-04,DIRAWAT,TOTAL,1530,PASIEN,2018
25,73,35,JAWA TIMUR,2018-05,MENINGGAL,NON RUJUKAN,20,PASIEN,2018
25,74,35,JAWA TIMUR,2018-05,MENINGGAL,RUJUKAN,39,PASIEN,2018
25,75,35,JAWA TIMUR,2018-05,MENINGGAL,TOTAL,59,PASIEN,2018
26,76,35,JAWA TIMUR,2018-05,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
26,77,35,JAWA TIMUR,2018-05,DIRUJUK,RUJUKAN,0,PASIEN,2018
26,78,35,JAWA TIMUR,2018-05,DIRUJUK,TOTAL,0,PASIEN,2018
27,79,35,JAWA TIMUR,2018-05,PULANG PAKSA,NON RUJUKAN,49,PASIEN,2018
